english,chinese,partOfSpeech,pronunciation
starve,挨饿,verb,/stɑːv/
survive,生存,verb,/səˈvaɪv/
review,复习,verb,/rɪˈvjuː/
influence,影响,verb,/ˈɪnfluəns/
conclusion,结论,noun,/kənˈkluːʒn/
solution,解决办法,noun,/səˈluːʃn/
challenge,挑战,noun,/ˈtʃælɪndʒ/
achievement,成就,noun,/əˈtʃiːvmənt/
discovery,发现,noun,/dɪˈskʌvəri/
creativity,创造力,noun,/ˌkriːeɪˈtɪvəti/
failure,失败,noun,/ˈfeɪljə(r)/
success,成功,noun,/səkˈses/
independent,独立的,adjective,/ˌɪndɪˈpendənt/
confident,自信的,adjective,/ˈkɒnfɪdənt/
determined,坚决的,adjective,/dɪˈtɜːmɪnd/
generous,慷慨的,adjective,/ˈdʒenərəs/
humorous,幽默的,adjective,/ˈhjuːmərəs/
intelligent,聪明的,adjective,/ɪnˈtelɪdʒənt/
modest,谦虚的,adjective,/ˈmɒdɪst/
organized,有条理的,adjective,/ˈɔːɡənaɪzd/
patient,有耐心的,adjective,/ˈpeɪʃnt/
responsible,负责任的,adjective,/rɪˈspɒnsəbl/
suitable,合适的,adjective,/ˈsuːtəbl/
contribution,贡献,noun,/ˌkɒntrɪˈbjuːʃn/
invitation,邀请,noun,/ˌɪnvɪˈteɪʃn/
devotion,奉献,noun,/dɪˈvəʊʃn/
kindness,善良,noun,/ˈkaɪndnəs/
wisdom,智慧,noun,/ˈwɪzdəm/
ancient,古代的,adjective,/ˈeɪnʃənt/
modern,现代的,adjective,/ˈmɒdn/
traditional,传统的,adjective,/trəˈdɪʃənl/
cultural,文化的,adjective,/ˈkʌltʃərəl/
historical,历史的,adjective,/hɪˈstɒrɪkl/
architectural,建筑的,adjective,/ˌɑːkɪˈtektʃərəl/
symbol,象征,noun,/ˈsɪmbl/
relic,遗迹,noun,/ˈrelɪk/
statue,雕像,noun,/ˈstætʃuː/
temple,寺庙,noun,/ˈtempl/
palace,宫殿,noun,/ˈpæləs/
castle,城堡,noun,/ˈkɑːsl/
monument,纪念碑,noun,/ˈmɒnjumənt/
mummy,木乃伊,noun,/ˈmʌmi/
pyramid,金字塔,noun,/ˈpɪrəmɪd/
pottery,陶器,noun,/ˈpɒtəri/
artifact,手工艺品,noun,/ˈɑːtɪfækt/
ruin,废墟,noun,/ˈruːɪn/
preserve,保护,verb,/prɪˈzɜːv/
restore,修复,verb,/rɪˈstɔː(r)/
rebuild,重建,verb,/ˌriːˈbɪld/
construct,建造,verb,/kənˈstrʌkt/
design,设计,verb,/dɪˈzaɪn/
create,创造,verb,/kriˈeɪt/
originate,起源,verb,/əˈrɪdʒɪneɪt/
environment,环境,noun,/ɪnˈvaɪrənmənt/
ecology,生态学,noun,/iˈkɒlədʒi/
pollution,污染,noun,/pəˈluːʃn/
waste,废物,noun,/weɪst/
rubbish,垃圾,noun,/ˈrʌbɪʃ/
litter, litter,noun,/ˈlɪtə(r)/
recycle,回收利用,verb,/ˌriːˈsaɪkl/
reuse,重复使用,verb,/ˌriːˈjuːz/
reduce,减少,verb,/rɪˈdjuːs/
conserve,保护,verb,/kənˈsɜːv/
preserve,维护,verb,/prɪˈzɜːv/
protect,保护,verb,/prəˈtekt/
damage,损害,verb,/ˈdæmɪdʒ/
destroy,破坏,verb,/dɪˈstrɔɪ/
harm,伤害,verb,/hɑːm/
threaten,威胁,verb,/ˈθretn/
endanger,危及,verb,/ɪnˈdeɪndʒə(r)/
extinct,灭绝的,adjective,/ɪkˈstɪŋkt/
rare,稀有的,adjective,/reə(r)/
precious,珍贵的,adjective,/ˈpreʃəs/
valuable,有价值的,adjective,/ˈvæljuəbl/
sustainable,可持续的,adjective,/səˈsteɪnəbl/
renewable,可再生的,adjective,/rɪˈnjuːəbl/
technology,技术,noun,/tekˈnɒlədʒi/
digital,数字的,adjective,/ˈdɪdʒɪtl/
electronic,电子的,adjective,/ɪˌlekˈtrɒnɪk/
automatic,自动的,adjective,/ˌɔːtəˈmætɪk/
artificial,人造的,adjective,/ˌɑːtɪˈfɪʃl/
intelligent,智能的,adjective,/ɪnˈtelɪdʒənt/
robot,机器人,noun,/ˈrəʊbɒt/
computer,计算机,noun,/kəmˈpjuːtə(r)/
internet,互联网,noun,/ˈɪntənet/
website,网站,noun,/ˈwebsaɪt/
software,软件,noun,/ˈsɒftweə(r)/
hardware,硬件,noun,/ˈhɑːdweə(r)/
database,数据库,noun,/ˈdeɪtəbeɪs/
network,网络,noun,/ˈnetwɜːk/
system,系统,noun,/ˈsɪstəm/
program,程序,noun,/ˈprəʊɡræm/
download,下载,verb,/ˌdaʊnˈləʊd/
upload,上传,verb,/ˌʌpˈləʊd/
connect,连接,verb,/kəˈnekt/
communicate,交流,verb,/kəˈmjuːnɪkeɪt/
transmit,传输,verb,/trænzˈmɪt/
store,存储,verb,/stɔː(r)/
process,处理,verb,/ˈprəʊses/
medical,医学的,adjective,/ˈmedɪkl/
physical,身体的,adjective,/ˈfɪzɪkl/
mental,精神的,adjective,/ˈmentl/
healthy,健康的,adjective,/ˈhelθi/
fit,健康的,adjective,/fɪt/
sick,生病的,adjective,/sɪk/
ill,生病的,adjective,/ɪl/
disease,疾病,noun,/dɪˈziːz/
virus,病毒,noun,/ˈvaɪrəs/
bacteria,细菌,noun,/bækˈtɪəriə/
symptom,症状,noun,/ˈsɪmptəm/
treatment,治疗,noun,/ˈtriːtmənt/
cure,治愈,verb,/kjʊə(r)/
prevent,预防,verb,/prɪˈvent/
protect,防护,verb,/prəˈtekt/
diagnose,诊断,verb,/ˈdaɪəɡnəʊz/
operate,做手术,verb,/ˈɒpəreɪt/
examine,检查,verb,/ɪɡˈzæmɪn/
prescribe,开处方,verb,/prɪˈskraɪb/
recover,康复,verb,/rɪˈkʌvə(r)/
heal,愈合,verb,/hiːl/
economy,经济,noun,/ɪˈkɒnəmi/
business,商业,noun,/ˈbɪznəs/
industry,工业,noun,/ˈɪndəstri/
trade,贸易,noun,/treɪd/
market,市场,noun,/ˈmɑːkɪt/
company,公司,noun,/ˈkʌmpəni/
factory,工厂,noun,/ˈfæktri/
product,产品,noun,/ˈprɒdʌkt/
goods,商品,noun,/ɡʊdz/
service,服务,noun,/ˈsɜːvɪs/
price,价格,noun,/praɪs/
cost,成本,noun,/kɒst/
profit,利润,noun,/ˈprɒfɪt/
loss,亏损,noun,/lɒs/
invest,投资,verb,/ɪnˈvest/
earn,赚取,verb,/ɜːn/
spend,花费,verb,/spend/
save,节省,verb,/seɪv/
waste,浪费,verb,/weɪst/
buy,购买,verb,/baɪ/
sell,出售,verb,/sel/
import,进口,verb,/ˈɪmpɔːt/
export,出口,verb,/ˈekspɔːt/
literature,文学,noun,/ˈlɪtrətʃə(r)/
poetry,诗歌,noun,/ˈpəʊətri/
novel,小说,noun,/ˈnɒvl/
story,故事,noun,/ˈstɔːri/
article,文章,noun,/ˈɑːtɪkl/
essay,散文,noun,/ˈeseɪ/
play,戏剧,noun,/pleɪ/
film,电影,noun,/fɪlm/
character,角色,noun,/ˈkærəktə(r)/
plot,情节,noun,/plɒt/
theme,主题,noun,/θiːm/
setting,背景,noun,/ˈsetɪŋ/
author,作者,noun,/ˈɔːθə(r)/
writer,作家,noun,/ˈraɪtə(r)/
poet,诗人,noun,/ˈpəʊɪt/
director,导演,noun,/dəˈrektə(r)/
actor,演员,noun,/ˈæktə(r)/
actress,女演员,noun,/ˈæktrəs/
create,创作,verb,/kriˈeɪt/
describe,描述,verb,/dɪˈskraɪb/
express,表达,verb,/ɪkˈspres/
imagine,想象,verb,/ɪˈmædʒɪn/
travel,旅行,noun,/ˈtrævl/
journey,旅程,noun,/ˈdʒɜːni/
trip,旅行,noun,/trɪp/
tour,游览,noun,/tʊə(r)/
voyage,航行,noun,/ˈvɔɪɪdʒ/
visit,参观,verb,/ˈvɪzɪt/
explore,探索,verb,/ɪkˈsplɔː(r)/
discover,发现,verb,/dɪˈskʌvə(r)/
journey,旅行,verb,/ˈdʒɜːni/
tour,旅游,verb,/tʊə(r)/
travel,旅行,verb,/ˈtrævl/
arrive,到达,verb,/əˈraɪv/
depart,离开,verb,/dɪˈpɑːt/
stay,停留,verb,/steɪ/
return,返回,verb,/rɪˈtɜːn/
accommodation,住宿,noun,/əˌkɒməˈdeɪʃn/
transport,交通,noun,/ˈtrænspɔːt/
attraction,景点,noun,/əˈtrækʃn/
souvenir,纪念品,noun,/ˌsuːvəˈnɪə(r)/
guide,导游,noun,/ɡaɪd/
map,地图,noun,/mæp/
ticket,票,noun,/ˈtɪkɪt/
